Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00486222622577581,0.45717497743252,-0.0249847706754774,0,0,0,0.646806335459542,0.045250217381864,-0.000391647507311458,-1.16032760425876E-18,0.000375276048602199,-9.77511439648212E-18,0.0452536352378809,0,0,0,0,0,0,package://arha_ros/meshes/base_link.STL,0.611764705882353,0.658823529411765,0.670588235294118,1,0,0,0,0,0,0,package://arha_ros/meshes/base_link.STL,,grasp_bimanual.stp-2/50x50_T-Slotted Framing Rail.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
chest_link,-0.103578651729946,-0.000788072396643393,-0.0161664731766626,0,0,0,1.36841316789851,0.00489050738637658,-1.05236493836224E-06,3.5996291040505E-07,0.00618645338476801,9.75907806329965E-05,0.00331113448739452,0,0,0,0,0,0,package://arha_ros/meshes/chest_link.STL,0.611764705882353,0.658823529411765,0.670588235294118,1,0,0,0,0,0,0,package://arha_ros/meshes/chest_link.STL,,grasp_bimanual.stp-2/grasp_chest_cover.stp-2;grasp_bimanual.stp-2/grasp_chest_cover.stp-1;grasp_bimanual.stp-2/x10_100_support_top.stp-1;grasp_bimanual.stp-2/x10_100_support_top - Copy.stp-1;X10-100_RMD-X10-S2 V3__step.stp-3;X10-100_RMD-X10-S2 V3__step.stp-4;grasp_01_x10_bearing_housing.stp-3;grasp_01_x10_bearing_housing.stp-4,Origin_chest_joint,,chest_joint,fixed,0.11179,0.024169,0.84302,0,0.0087266,0,base_link,0,0,0,,,,,,,,,,,,
ShoulderLU_link,0.000633904495236731,0.058299543463125,0.000131520562804743,0,0,0,0.437859352194871,0.000761320903843758,0.00010323291028103,5.11545981553644E-05,0.000480494506076569,3.0858569436463E-05,0.000607510740265925,0,0,0,0,0,0,package://arha_ros/meshes/ShoulderLU_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arha_ros/meshes/ShoulderLU_link.STL,,grasp01_left_shoulder.stp-1,Origin_ShoulderLU_joint,Axis_ShoulderLU_joint,ShoulderLU_joint,revolute,0,0,0,0,0.24056,-1.5708,chest_link,0,1,0,100,5.235988,-1.5708,1.5708,,,,,,,,
ShoulderLD_link,0.0130996516559233,4.03562806224889E-05,-0.0159486004121393,0,0,0,0.121271829639387,0.000264584076158386,-1.73910116146315E-07,2.35095880421902E-05,0.000215361369893302,2.22793553735259E-08,0.000144313566720507,0,0,0,0,0,0,package://arha_ros/meshes/ShoulderLD_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arha_ros/meshes/ShoulderLD_link.STL,,grasp01_shoulderpivot_Left.stp-1,Origin_ShoulderLD_joint,Axis_ShoulderLD_joint,ShoulderLD_joint,revolute,0,0.086954,0,0.0052522,0,0.0015918,ShoulderLU_link,0.95701,0,0.29004,60,4.1888,0,1.5708,,,,,,,,
ElbowLU_link,0.0523700637070466,0.00121630077779727,-0.165628058836482,0,0,0,0.435431174027291,0.00116072679569384,8.04355925173392E-06,0.000205352161683031,0.00150791942538621,4.82172912105246E-07,0.000545520164122057,0,0,0,0,0,0,package://arha_ros/meshes/ElbowLU_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arha_ros/meshes/ElbowLU_link.STL,,grasp_01_elbow_Left.stp-1,Origin_ElbowLU_joint,Axis_ElbowLU_joint,ElbowLU_joint,revolute,0,0,0,0.00062146,0,-0.0020506,ShoulderLD_link,0.29004,-0.0015904,-0.95701,20,19.897,-1.5708,1.5708,,,,,,,,
ElbowLD_link,0.0150145603137214,-0.0141079237505648,-0.053785235661527,0,0,0,0.405367875717028,0.00067624701220466,5.55177260579747E-06,6.42141098567194E-05,0.000879406227076063,4.50678130640547E-06,0.000469982856451293,0,0,0,0,0,0,package://arha_ros/meshes/ElbowLD_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arha_ros/meshes/ElbowLD_link.STL,,grasp_01_forearm_Left.stp-1,Origin_ElbowLD_joint,Axis_ElbowLD_joint,ElbowLD_joint,revolute,0.075262,-0.00045791,-0.2413,0.0011286,0.042027,0.00029402,ElbowLU_link,0.026692,0.99962,0.0064283,60,4.1888,0,1.5708,,,,,,,,
WristLU_link,0.00639011818127691,0.000136393365235563,0.0551589170384083,0,0,0,0.348222374397224,0.000507501720144092,1.11372011938532E-07,-9.14391421597536E-05,0.000436522295309841,3.98574321726627E-07,0.00026692664813503,0,0,0,0,0,0,package://arha_ros/meshes/WristLU_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arha_ros/meshes/WristLU_link.STL,,grasp01_wrist_left_pivot.stp-1,Origin_WristLU_joint,Axis_WristLU_joint,WristLU_joint,revolute,0.033161,-0.0056591,-0.11391,2.8571,-0.0068914,1.5425,ElbowLD_link,0,0,1,20,0,-1.5708,1.5708,,,,,,,,
WristLD_link,-0.000789165657556684,0.000668276784951023,0.0143918198387223,0,0,0,0.144157848422193,0.0002107185858156,-6.96875325623027E-07,-1.50110185661794E-05,0.000173165669857294,-2.62309617895709E-06,0.000116799342666003,0,0,0,0,0,0,package://arha_ros/meshes/WristLD_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arha_ros/meshes/WristLD_link.STL,,grasp01_wrist_left.stp-1,Origin_WristLD_joint,Axis_WristLD_joint,WristLD_joint,revolute,0,0,0.075065,0.036631,0,0,WristLU_link,1,0,0,8,32.463124,-1.5708,1.5708,,,,,,,,
ShoulderRU_link,0.000633904463091112,0.0632876622043777,0.000131520545503583,0,0,0,0.437859351944568,0.000761320903037865,0.00010323291048724,5.11545980849188E-05,0.000480494505765443,3.08585694704881E-05,0.000607510739616738,0,0,0,0,0,0,package://arha_ros/meshes/ShoulderRU_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arha_ros/meshes/ShoulderRU_link.STL,,grasp01_right_shoulder.stp-1,Origin_ShoulderRU_joint,Axis_ShoulderRU_joint,ShoulderRU_joint,revolute,-0.20263,0.0018367,0,3.1416,-0.28499,-1.5708,chest_link,0,1,0,100,5.235988,-1.5708,1.5708,,,,,,,,
ShoulderRD_link,0.0130603185121422,4.03570967780209E-05,-0.0159605216469788,0,0,0,0.121271833885802,0.000264584071728155,-1.73910560956384E-07,2.35095904760613E-05,0.0002153613724785,2.22817405287246E-08,0.000144313566137142,0,0,0,0,0,0,package://arha_ros/meshes/ShoulderRD_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arha_ros/meshes/ShoulderRD_link.STL,,grasp01_shoulderpivot_right.stp-1,Origin_ShoulderRD_joint,Axis_ShoulderRD_joint,ShoulderRD_joint,revolute,0,0.091943,0,3.1389,-0.58853,0.00081251,ShoulderRU_link,0.95701,0,0.29004,60,4.1888,-1.5708,0,,,,,,,,
ElbowRU_link,0.056819807604414,0.00130441079169116,-0.161248980507902,0,0,0,0.43543149660162,0.00116072652976023,8.04351173911062E-06,0.000205352258430429,0.00150791924798473,4.82193415065212E-07,0.000545520215244939,0,0,0,0,0,0,package://arha_ros/meshes/ElbowRU_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arha_ros/meshes/ElbowRU_link.STL,,grasp_01_elbow_right.stp-1,Origin_ElbowRU_joint,Axis_ElbowRU_joint,ElbowRU_joint,revolute,0.01,0,0,-0.00017185,0.58853,3.1301,ShoulderRD_link,0,0,0,20,19.897,-1.5708,1.5708,,,,,,,,
ElbowRD_link,0.01501721253576,-0.0140086375733101,-0.0537845978405951,0,0,0,0.405367838897484,0.000676246989908249,5.55176945002612E-06,6.42141075201969E-05,0.0008794061843227,4.50678755869984E-06,0.000469982837398396,0,0,0,0,0,0,package://arha_ros/meshes/ElbowRD_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arha_ros/meshes/ElbowRD_link.STL,,grasp_01_forearm_right.stp-1,Origin_ElbowRD_joint,Axis_ElbowRD_joint,ElbowRD_joint,revolute,0.079705,-0.00060472,-0.23692,-4.9565E-05,-0.0018566,-1.1893E-05,ElbowRU_link,0.026692,0.99962,0.0064283,60,4.1888,0,1.5708,,,,,,,,
WristRU_link,0.00639012254804167,0.000136393641995469,0.0563198944392286,0,0,0,0.348222354843636,0.000507501702429949,1.11373651928209E-07,-9.14391354779642E-05,0.000436522279637755,3.98581053072694E-07,0.000266926646371092,0,0,0,0,0,0,package://arha_ros/meshes/WristRU_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arha_ros/meshes/WristRU_link.STL,,grasp01_wrist_right_pivot.stp-1,Origin_WristRU_joint,Axis_WristRU_joint,WristRU_joint,revolute,0.032837,-0.0055583,-0.1128,2.8571,-0.002299,1.5582,ElbowRD_link,0,0,1,20,0,-1.5708,1.5708,,,,,,,,
WristRD_link,-0.0007891665998703,0.000668277029161484,0.0143918184359768,0,0,0,0.144157843696757,0.000210718602074961,-6.96872467093026E-07,-1.50110128749547E-05,0.000173165649110249,-2.62309383761537E-06,0.000116799346279209,0,0,0,0,0,0,package://arha_ros/meshes/WristRD_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arha_ros/meshes/WristRD_link.STL,,grasp01_wrist_right.stp-1,Origin_WristRD_joint,Axis_WristRD_joint,WristRD_joint,revolute,0,0,0.076226,0.047691,0,0,WristRU_link,1,0,0,8,32.463,-1.5708,1.5708,,,,,,,,
